3;fio-3.22;test;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;8836308;49083;98167;180025;4;1237011;80.798159;3068.032651;0;1504246;5126.993360;25887.121929;1.000000%=403;5.000000%=452;10.000000%=514;20.000000%=643;30.000000%=716;40.000000%=823;50.000000%=1449;60.000000%=2007;70.000000%=2539;80.000000%=3129;90.000000%=4685;95.000000%=12910;99.000000%=85458;99.500000%=173015;99.900000%=383778;99.950000%=463470;99.990000%=683671;0%=0;0%=0;0%=0;9;1504258;5207.903457;26106.886321;144;135805;100.000000%;49345.366385;8282.893826;1.050118%;5.734537%;17682785;0;138;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;8.93%;24.13%;13.61%;13.31%;28.18%;5.69%;2.76%;1.85%;0.66%;0.59%;0.26%;0.03%;0.01%;0.01%;0.00%;zd0;0;0;0;0;0;0;0;0.00%
{
  "fio version" : "fio-3.22",
  "timestamp" : 1604583409,
  "timestamp_ms" : 1604583409985,
  "time" : "Thu Nov  5 14:36:49 2020",
  "jobs" : [
    {
      "jobname" : "test",
      "groupid" : 0,
      "error" : 0,
      "eta" : 0,
      "elapsed" : 181,
      "job options" : {
        "name" : "test",
        "direct" : "1",
        "ioengine" : "libaio",
        "size" : "100G",
        "runtime" : "180",
        "iodepth" : "64",
        "numjobs" : "8",
        "bs" : "512",
        "rw" : "write"
      },
      "read" : {
        "io_bytes" : 0,
        "io_kbytes" : 0,
        "bw_bytes" : 0,
        "bw" : 0,
        "iops" : 0.000000,
        "runtime" : 0,
        "total_ios" : 0,
        "short_ios" : 0,
        "drop_ios" : 0,
        "slat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "clat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "lat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "bw_min" : 0,
        "bw_max" : 0,
        "bw_agg" : 0.000000,
        "bw_mean" : 0.000000,
        "bw_dev" : 0.000000,
        "bw_samples" : 0,
        "iops_min" : 0,
        "iops_max" : 0,
        "iops_mean" : 0.000000,
        "iops_stddev" : 0.000000,
        "iops_samples" : 0
      },
      "write" : {
        "io_bytes" : 9048379392,
        "io_kbytes" : 8836308,
        "bw_bytes" : 50261793,
        "bw" : 49083,
        "iops" : 98167.565616,
        "runtime" : 180025,
        "total_ios" : 17672616,
        "short_ios" : 0,
        "drop_ios" : 0,
        "slat_ns" : {
          "min" : 4559,
          "max" : 1237011330,
          "mean" : 80798.158960,
          "stddev" : 3068032.651143,
          "N" : 17672616
        },
        "clat_ns" : {
          "min" : 922,
          "max" : 1504246608,
          "mean" : 5126993.360416,
          "stddev" : 25887121.928761,
          "N" : 17672616,
          "percentile" : {
            "1.000000" : 403456,
            "5.000000" : 452608,
            "10.000000" : 514048,
            "20.000000" : 643072,
            "30.000000" : 716800,
            "40.000000" : 823296,
            "50.000000" : 1449984,
            "60.000000" : 2007040,
            "70.000000" : 2539520,
            "80.000000" : 3129344,
            "90.000000" : 4685824,
            "95.000000" : 12910592,
            "99.000000" : 85458944,
            "99.500000" : 173015040,
            "99.900000" : 383778816,
            "99.950000" : 463470592,
            "99.990000" : 683671552
          }
        },
        "lat_ns" : {
          "min" : 9317,
          "max" : 1504258490,
          "mean" : 5207903.457352,
          "stddev" : 26106886.321462,
          "N" : 17672616
        },
        "bw_min" : 144,
        "bw_max" : 135805,
        "bw_agg" : 100.000000,
        "bw_mean" : 49345.366385,
        "bw_dev" : 8282.893826,
        "bw_samples" : 2850,
        "iops_min" : 288,
        "iops_max" : 271610,
        "iops_mean" : 98690.777711,
        "iops_stddev" : 16565.787359,
        "iops_samples" : 2850
      },
      "trim" : {
        "io_bytes" : 0,
        "io_kbytes" : 0,
        "bw_bytes" : 0,
        "bw" : 0,
        "iops" : 0.000000,
        "runtime" : 0,
        "total_ios" : 0,
        "short_ios" : 0,
        "drop_ios" : 0,
        "slat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "clat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "lat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        },
        "bw_min" : 0,
        "bw_max" : 0,
        "bw_agg" : 0.000000,
        "bw_mean" : 0.000000,
        "bw_dev" : 0.000000,
        "bw_samples" : 0,
        "iops_min" : 0,
        "iops_max" : 0,
        "iops_mean" : 0.000000,
        "iops_stddev" : 0.000000,
        "iops_samples" : 0
      },
      "sync" : {
        "total_ios" : 0,
        "lat_ns" : {
          "min" : 0,
          "max" : 0,
          "mean" : 0.000000,
          "stddev" : 0.000000,
          "N" : 0
        }
      },
      "job_runtime" : 1440029,
      "usr_cpu" : 1.050118,
      "sys_cpu" : 5.734537,
      "ctx" : 17682785,
      "majf" : 0,
      "minf" : 138,
      "iodepth_level" : {
        "1" : 0.100000,
        "2" : 0.100000,
        "4" : 0.100000,
        "8" : 0.100000,
        "16" : 0.100000,
        "32" : 0.100000,
        ">=64" : 99.997148
      },
      "iodepth_submit" : {
        "0" : 0.000000,
        "4" : 100.000000,
        "8" : 0.000000,
        "16" : 0.000000,
        "32" : 0.000000,
        "64" : 0.000000,
        ">=64" : 0.000000
      },
      "iodepth_complete" : {
        "0" : 0.000000,
        "4" : 99.999955,
        "8" : 0.000000,
        "16" : 0.000000,
        "32" : 0.000000,
        "64" : 0.100000,
        ">=64" : 0.000000
      },
      "latency_ns" : {
        "2" : 0.000000,
        "4" : 0.000000,
        "10" : 0.000000,
        "20" : 0.000000,
        "50" : 0.000000,
        "100" : 0.000000,
        "250" : 0.000000,
        "500" : 0.000000,
        "750" : 0.000000,
        "1000" : 0.010000
      },
      "latency_us" : {
        "2" : 0.010000,
        "4" : 0.010000,
        "10" : 0.010000,
        "20" : 0.010000,
        "50" : 0.010000,
        "100" : 0.010000,
        "250" : 0.010000,
        "500" : 8.933329,
        "750" : 24.129014,
        "1000" : 13.614872
      },
      "latency_ms" : {
        "2" : 13.313264,
        "4" : 28.175240,
        "10" : 5.688994,
        "20" : 2.757192,
        "50" : 1.845629,
        "100" : 0.656105,
        "250" : 0.587655,
        "500" : 0.260550,
        "750" : 0.031704,
        "1000" : 0.010000,
        "2000" : 0.010000,
        ">=2000" : 0.000000
      },
      "latency_depth" : 64,
      "latency_target" : 0,
      "latency_percentile" : 100.000000,
      "latency_window" : 0
    }
  ],
  "disk_util" : [
    {
      "name" : "zd0",
      "read_ios" : 0,
      "write_ios" : 0,
      "read_merges" : 0,
      "write_merges" : 0,
      "read_ticks" : 0,
      "write_ticks" : 0,
      "in_queue" : 0,
      "util" : 0.000000
    }
  ]
}
